symbol,as_of_date,price,sector,score,sales_cagr_5y,avg_roe_5y,pe_ratio,debt_equity,market_cap_cr,cfo_pat_ratio,source_updated_at,created_at,flag_inf_any_numeric,threshold_extreme_pe_sector_p995_pe_ratio,flag_extreme_pe_sector_p995,threshold_extreme_roe_sector_p995_avg_roe_5y,flag_extreme_roe_sector_p995,threshold_high_sales_cagr_sector_p995_sales_cagr_5y,flag_high_sales_cagr_sector_p995,as_of_age_days,flag_stale_as_of_date,issue_codes_hard_fail,issue_codes_warning,issue_codes_all,issue_count_hard_fail,issue_count_warning,issue_count_all,flag_has_hard_fail,flag_has_warning,flag_any_issue,row_action
STARHEALTH.NS,2026-02-14,470.0,Financial Services,47.9,15.86,3.69,62.54,6.18,27934.39,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,435.26070000000004,False,54.42,False,855.65,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
SUMICHEM.NS,2026-02-14,406.5,Basic Materials,,,18.91,38.13,1.82,20230.38,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1725.8593000000008,False,59.53,False,18.36,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
SUNDARMFIN.NS,2026-02-14,5295.0,Financial Services,50.8,14.84,13.48,28.33,3.77,58203.5,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,435.26070000000004,False,54.42,False,855.65,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
SUNDRMFAST.NS,2026-02-14,924.0,Consumer Cyclical,46.5,6.61,15.81,34.87,0.18,19283.48,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1051.3805000000034,False,157.5087000000005,False,285.18,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
SUNTV.NS,2026-02-14,573.25,Communication Services,35.9,3.85,17.86,14.72,1.18,23250.99,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,483.87495000000007,False,98.26,False,63.14,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
SUPREMEIND.NS,2026-02-14,3760.0,Industrials,,,20.69,58.67,5.63,47864.09,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1133.970849999963,False,624.8587999999795,False,93.79,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
SWANCORP.NS,2026-02-14,408.0,Industrials,,,0.21,0.0,0.28,12817.25,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1133.970849999963,False,624.8587999999795,False,93.79,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
SWIGGY.NS,2026-02-14,337.6499938964844,Consumer Cyclical,50.3,39.29,-34.1,0.0,0.25,85813.85,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1051.3805000000034,False,157.5087000000005,False,285.18,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
TARIL.NS,2026-02-14,270.5,Industrials,47.1,20.23,9.85,30.37,0.27,8187.02,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1133.970849999963,False,624.8587999999795,False,93.79,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
TATACOMM.NS,2026-02-14,1644.9000244140625,Communication Services,49.8,11.19,98.26,31.02,4.68,47794.5,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,483.87495000000007,False,98.26,False,63.14,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
