Symbol,Price,Avg_Volume_10D,Sector,Industry,Market_Cap_Cr,200_DMA,50_DMA,RSI,Sales_Growth_TTM%,Sales_Growth_5Y%,ROE%,Avg_ROE_5Y%,Profit_Margin%,Debt_Equity,PEG_Ratio,PE_Ratio,Down_From_52W_High%,Smart_Money%,Free_Cashflow,CFO_PAT_Ratio,EPS_Growth%,F_Score,RS_Rating,Earnings_Accel,Graham_Number,Value_Gap%,Technical_Signal,MACD_Bullish,Analyst_Rating,Target_Mean_Price,Analyst_Upside%,Analyst_Count,Promoter_Holding%,Inst_Holding%,ATR,Stop_Loss_ATR,Max_Qty_1L,score,Rating,updated_at,As_Of_Date
SHARDAMOTR.NS,931.7000122070312,48491,Consumer Cyclical,Auto Parts,5348.68,985.6269366455078,916.4279968261719,71.08,27.8,,0.0,28.24,10.71,4.41,100,15.85,25.34,79.73,0,0.0,0,1,-2.47,True,513.22,-44.92,Bullish,True,None,0.0,0.0,0,67.54,12.2,36.54,858.62,27,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
SHILCTECH.NS,3886.5,76198,Industrials,Electrical Equipment & Parts,4446.23,3754.4847225900426,3701.503984375,69.31,10.7,,0.0,34.82,25.12,0.0,100,24.04,10.66,73.33,0,0.0,0,2,0.0,False,1155.41,-70.27,Bullish,True,None,0.0,0.0,0,72.03,1.3,215.4,3455.69,4,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
SOUTHBANK.NS,40.36000061035156,20871062,Financial Services,Banks - Regional,10568.28,33.59020129203796,40.75639984130859,33.1,2.9,17.35,13.62,9.35,27.93,0.0,100,7.6,13.83,28.01,0,0.0,0,1,10.27,True,70.91,75.69,Bearish,False,None,44.2,9.51,5,4.32,23.7,1.44,37.48,694,58.3,Hold,2026-02-16 10:06:33.927980,2026-02-16
SPORTKING.NS,109.4000015258789,381136,Consumer Cyclical,Textile Manufacturing,1391.44,104.14858737945556,90.93380020141602,77.65,5.9,,0.0,21.66,4.76,0.48,100,11.78,21.86,79.05,0,0.0,0,1,-0.56,True,131.68,20.37,Bullish,True,None,0.0,0.0,0,79.05,0.0,6.66,96.09,150,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
SRM.NS,452.8999938964844,186021,Industrials,Engineering & Construction,1039.34,491.141248626709,489.98999877929685,52.64,54.0,,0.0,27.49,10.06,0.2,100,14.3,30.32,75.54,0,0.0,0,2,-0.87,True,292.53,-35.41,Bullish,True,None,0.0,0.0,0,75.54,0.0,31.44,390.02,31,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
STYL.NS,257.1199951171875,146442,Technology,Software - Infrastructure,4160.35,315.91452652780634,271.4016000366211,63.57,10.1,29.57,0.0,32.92,15.76,0.26,100,18.8,41.22,91.56,0,0.0,0,2,0.0,True,162.31,-36.87,Bullish,True,None,0.0,0.0,0,85.87,5.68,10.83,235.47,92,61.4,Hold,2026-02-16 10:06:33.927980,2026-02-16
STYLAMIND.NS,2214.39990234375,35105,Consumer Cyclical,"Furnishings, Fixtures & Appliances",3752.98,1888.454503173828,2199.0300146484374,60.02,6.5,,0.0,21.26,12.7,0.0,100,26.55,8.87,65.33,0,0.0,0,2,9.07,False,897.61,-59.46,Bullish,True,Buy,2542.0,14.79,5,54.11,11.23,37.56,2139.27,26,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
TATACHEM.NS,691.8499755859375,466610,Basic Materials,Chemicals,17625.31,865.3421838378906,742.3970031738281,42.27,-1.1,5.68,0.0,5.23,1.23,0.32,100,109.3,32.61,65.93,0,0.0,0,2,-7.04,False,353.38,-48.92,Bearish,False,Hold,803.2222,16.1,9,38.72,27.21,16.97,657.91,58,19.8,Avoid,2026-02-16 10:06:33.927980,2026-02-16
TATAINVEST.NS,631.7000122070312,515034,Financial Services,Capital Markets,31961.05,710.0326467895508,671.4020007324219,57.26,1500.0,14.6,0.0,1.17,107.85,0.0,100,78.28,46.68,75.68,0,0.0,0,2,-2.21,False,337.86,-46.52,Bullish,True,None,0.0,0.0,0,73.82,1.86,22.36,586.97,44,27.3,Avoid,2026-02-16 10:06:33.927980,2026-02-16
TECHLABS.NS,179.10000610351562,0,Unknown,Unknown,1225.23,442.8906954956055,283.1770001220703,32.23,0.0,,0.0,17.12,0.0,0.0,100,106.46,82.6,0.0,0,0.0,0,1,-16.61,False,0.0,0.0,Bearish,False,None,0.0,0.0,0,0.0,0.0,14.97,149.17,66,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
TINNARUBR.NS,738.9000244140625,62001,Basic Materials,Specialty Chemicals,1331.18,872.3992517089844,740.1779992675781,64.86,13.4,,0.0,25.8,9.27,0.38,100,27.14,32.14,75.61,0,0.0,0,2,-2.99,True,311.84,-57.8,Bullish,True,None,0.0,0.0,0,70.07,5.54,37.87,663.15,26,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
TMB.NS,663.5,583437,Financial Services,Banks - Regional,10506.62,475.37661224365235,560.5110028076172,69.22,11.2,6.24,13.8,14.23,39.5,0.0,100,8.36,6.35,32.29,0,0.0,0,1,14.77,True,1049.65,58.2,Bullish,True,None,0.0,0.0,0,29.46,2.83,28.63,606.25,34,54.5,Hold,2026-02-16 10:06:33.927980,2026-02-16
UCOBANK.NS,28.110000610351562,6201852,Financial Services,Banks - Regional,35272.64,30.362526960372925,28.980800056457518,45.61,0.5,6.03,8.57,6.31,21.96,0.0,100,13.65,29.53,93.48,0,0.0,0,2,0.04,False,35.03,24.62,Bearish,False,None,0.0,0.0,0,90.95,2.53,0.58,26.95,1718,32.3,Avoid,2026-02-16 10:06:33.927980,2026-02-16
UNIONBANK.NS,177.50999450683594,11495112,Financial Services,Banks - Regional,135539.38,145.81102237701415,165.41299896240236,53.29,15.8,12.59,15.56,12.05,34.97,0.0,100,7.15,3.18,88.42,0,0.0,0,2,8.61,True,309.56,74.39,Neutral,False,None,194.73334,9.7,15,74.76,13.67,4.74,168.03,210,61.4,Hold,2026-02-16 10:06:33.927980,2026-02-16
UPL.NS,729.5499877929688,2908125,Basic Materials,Agricultural Inputs,61667.7,703.31861328125,754.9560009765624,54.82,12.5,0.21,0.0,6.28,3.58,0.8,100,34.86,10.18,68.42,0,0.0,0,1,1.82,True,428.17,-41.31,Bullish,True,Buy,823.7647,12.91,17,33.6,34.82,21.16,687.24,47,39.4,Avoid,2026-02-16 10:06:33.927980,2026-02-16
VADILALIND.NS,5130.89990234375,37073,Consumer Defensive,Packaged Foods,3688.0,5303.190952148438,4802.646025390625,77.06,16.7,21.09,0.0,21.95,8.93,0.26,100,30.16,30.65,69.12,0,0.0,0,2,1.03,False,2044.72,-60.15,Bullish,True,None,0.0,0.0,0,67.71,1.41,224.52,4681.86,4,51.0,Hold,2026-02-16 10:06:33.927980,2026-02-16
VTL.NS,507.0,1259765,Consumer Cyclical,Textile Manufacturing,14664.33,446.45810287475587,443.5029998779297,71.98,1.6,,0.0,11.31,8.08,0.14,100,18.09,6.09,83.98,0,0.0,0,2,8.2,False,474.33,-6.44,Bullish,True,None,445.6,-12.11,5,64.91,19.07,25.71,455.58,38,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
WAAREEENER.NS,3087.300048828125,1846778,Technology,Solar,88803.38,3076.9500146484374,2856.9280126953126,80.49,118.8,71.63,0.0,23.48,14.82,0.25,100,27.17,20.12,73.41,0,0.0,0,2,1.95,True,1011.04,-67.25,Bullish,True,Buy,3422.7273,10.86,11,68.38,5.03,94.34,2898.62,10,66.5,Buy,2026-02-16 10:06:33.927980,2026-02-16
WAAREERTL.NS,884.0,233470,Utilities,Utilities - Renewable,9224.17,1032.9052499389647,933.48,48.66,136.2,,0.0,50.78,15.4,0.12,100,22.11,34.9,76.35,0,0.0,0,2,-3.26,True,238.37,-73.04,Neutral,True,None,0.0,0.0,0,75.38,0.98,24.89,834.21,40,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
